date,lieu,produit,stock
2025-04-01,Depot_A,Pommes,0
2025-04-01,Depot_A,Bananes,0
2025-04-01,Depot_A,Oranges,0
2025-04-01,Depot_B,Pommes,0
2025-04-01,Depot_B,Bananes,0
2025-04-01,Depot_B,Oranges,0
2025-04-01,Magasin_C,Pommes,0
2025-04-01,Magasin_C,Bananes,0
2025-04-01,Magasin_C,Oranges,0
2025-04-02,Depot_A,Pommes,0
2025-04-02,Depot_A,Bananes,0
2025-04-02,Depot_A,Oranges,0
2025-04-02,Depot_B,Pommes,0
2025-04-02,Depot_B,Bananes,0
2025-04-02,Depot_B,Oranges,0
2025-04-02,Magasin_C,Pommes,0
2025-04-02,Magasin_C,Bananes,150
2025-04-02,Magasin_C,Oranges,0
2025-04-03,Depot_A,Pommes,0
2025-04-03,Depot_A,Bananes,0
2025-04-03,Depot_A,Oranges,0
2025-04-03,Depot_B,Pommes,100
2025-04-03,Depot_B,Bananes,0
2025-04-03,Depot_B,Oranges,0
2025-04-03,Magasin_C,Pommes,0
2025-04-03,Magasin_C,Bananes,150
2025-04-03,Magasin_C,Oranges,0
2025-04-04,Depot_A,Pommes,0
2025-04-04,Depot_A,Bananes,0
2025-04-04,Depot_A,Oranges,0
2025-04-04,Depot_B,Pommes,100
2025-04-04,Depot_B,Bananes,0
2025-04-04,Depot_B,Oranges,0
2025-04-04,Magasin_C,Pommes,120
2025-04-04,Magasin_C,Bananes,150
2025-04-04,Magasin_C,Oranges,0
2025-04-05,Depot_A,Pommes,0
2025-04-05,Depot_A,Bananes,0
2025-04-05,Depot_A,Oranges,0
2025-04-05,Depot_B,Pommes,100
2025-04-05,Depot_B,Bananes,180
2025-04-05,Depot_B,Oranges,0
2025-04-05,Magasin_C,Pommes,120
2025-04-05,Magasin_C,Bananes,150
2025-04-05,Magasin_C,Oranges,300
2025-04-06,Depot_A,Pommes,0
2025-04-06,Depot_A,Bananes,0
2025-04-06,Depot_A,Oranges,0
2025-04-06,Depot_B,Pommes,100
2025-04-06,Depot_B,Bananes,20
2025-04-06,Depot_B,Oranges,0
2025-04-06,Magasin_C,Pommes,120
2025-04-06,Magasin_C,Bananes,150
2025-04-06,Magasin_C,Oranges,300
2025-04-07,Depot_A,Pommes,0
2025-04-07,Depot_A,Bananes,0
2025-04-07,Depot_A,Oranges,0
2025-04-07,Depot_B,Pommes,230
2025-04-07,Depot_B,Bananes,20
2025-04-07,Depot_B,Oranges,0
2025-04-07,Magasin_C,Pommes,120
2025-04-07,Magasin_C,Bananes,310
2025-04-07,Magasin_C,Oranges,300
2025-04-08,Depot_A,Pommes,0
2025-04-08,Depot_A,Bananes,0
2025-04-08,Depot_A,Oranges,0
2025-04-08,Depot_B,Pommes,230
2025-04-08,Depot_B,Bananes,20
2025-04-08,Depot_B,Oranges,0
2025-04-08,Magasin_C,Pommes,120
2025-04-08,Magasin_C,Bananes,310
2025-04-08,Magasin_C,Oranges,300
2025-04-09,Depot_A,Pommes,0
2025-04-09,Depot_A,Bananes,0
2025-04-09,Depot_A,Oranges,0
2025-04-09,Depot_B,Pommes,230
2025-04-09,Depot_B,Bananes,20
2025-04-09,Depot_B,Oranges,140
2025-04-09,Magasin_C,Pommes,120
2025-04-09,Magasin_C,Bananes,310
2025-04-09,Magasin_C,Oranges,300
2025-04-10,Depot_A,Pommes,0
2025-04-10,Depot_A,Bananes,0
2025-04-10,Depot_A,Oranges,0
2025-04-10,Depot_B,Pommes,230
2025-04-10,Depot_B,Bananes,20
2025-04-10,Depot_B,Oranges,140
2025-04-10,Magasin_C,Pommes,120
2025-04-10,Magasin_C,Bananes,310
2025-04-10,Magasin_C,Oranges,300
2025-04-11,Depot_A,Pommes,0
2025-04-11,Depot_A,Bananes,0
2025-04-11,Depot_A,Oranges,0
2025-04-11,Depot_B,Pommes,230
2025-04-11,Depot_B,Bananes,20
2025-04-11,Depot_B,Oranges,140
2025-04-11,Magasin_C,Pommes,120
2025-04-11,Magasin_C,Bananes,310
2025-04-11,Magasin_C,Oranges,300
2025-04-12,Depot_A,Pommes,0
2025-04-12,Depot_A,Bananes,0
2025-04-12,Depot_A,Oranges,0
2025-04-12,Depot_B,Pommes,230
2025-04-12,Depot_B,Bananes,20
2025-04-12,Depot_B,Oranges,140
2025-04-12,Magasin_C,Pommes,120
2025-04-12,Magasin_C,Bananes,310
2025-04-12,Magasin_C,Oranges,300
